,Title_of_Movie,Release_Year,Runtime_(min),IMDB_Rating,Metascore,Votes,Box_Office_(Million $)
7894,Sirens,1994,98,5.9,64        ,10978,7.77
7895,The Road to Wellville,1994,118,5.9,Not Metascore available,12509,6.51
7896,Canadian Bacon,1995,91,5.9,Not Metascore available,17231,0.18
7897,Return of the Living Dead III,1993,97,5.9,47        ,15479,0.05
7898,Fortress,1992,95,5.9,48        ,29126,6.74
7899,Passenger 57,1992,84,5.9,50        ,48384,44.07
7900,Kuffs,1992,102,5.9,Not Metascore available,11008,21.14
7901,Final Analysis,1992,124,5.9,40        ,14468,28.59
7902,The Distinguished Gentleman,1992,112,5.9,45        ,16220,46.67
7903,The Babe,1992,115,5.9,Not Metascore available,11143,17.53
7904,Life Stinks,1991,92,5.9,54        ,10686,4.10
7905,Drop Dead Fred,1991,103,5.9,25        ,29621,43.88
7906,Billy Bathgate,1991,106,5.9,Not Metascore available,12199,15.97
7907,The Rookie,1990,120,5.9,41        ,27652,21.63
7908,Men at Work,1990,98,5.9,34        ,25115,16.25
7909,Marked for Death,1990,93,5.9,49        ,22566,46.04
7910,Joe Versus the Volcano,1990,102,5.9,45        ,37632,39.40
7911,Hardware,1990,94,5.9,41        ,15568,5.73
7912,Child's Play 2,1990,84,5.9,37        ,52638,28.50
7913,Another 48 Hrs.,1990,95,5.9,23        ,42080,80.82
7914,Who's Harry Crumb?,1989,94,5.9,44        ,16747,10.98
7915,Look Who's Talking,1989,93,5.9,51        ,83059,140.09
7916,Fright Night Part 2,1988,104,5.9,Not Metascore available,13069,2.98
7917,Vice Versa,1988,98,5.9,61        ,10041,13.66
7918,She's Having a Baby,1988,106,5.9,41        ,13026,16.03
7919,The Presidio,1988,97,5.9,31        ,18864,20.04
7920,Cocktail,1988,104,5.9,12        ,86459,78.22
7921,Street Trash,1987,91,5.9,Not Metascore available,10596,Not Box Office available
7922,Mannequin,1987,90,5.9,21        ,32324,42.72
7923,Blind Date,1987,95,5.9,49        ,22956,39.32
7924,The Wraith,1986,93,5.9,39        ,17163,3.50
7925,9½ Weeks,1986,117,5.9,50        ,41405,6.73
7926,Jumpin' Jack Flash,1986,105,5.9,52        ,19639,25.59
7927,The Golden Child,1986,94,5.9,37        ,56614,79.82
7928,Dèmoni 2... l'incubo ritorna,1986,92,5.9,Not Metascore available,10826,Not Box Office available
7929,The Stuff,1985,87,5.9,Not Metascore available,16688,Not Box Office available
7930,Girls Just Want to Have Fun,1985,90,5.9,56        ,12196,6.33
7931,The Woman in Red,1984,87,5.9,55        ,15932,25.31
7932,Conan the Destroyer,1984,103,5.9,53        ,80905,31.04
7933,Against All Odds,1984,128,5.9,42        ,12569,25.10
7934,All the Right Moves,1983,91,5.9,62        ,19117,17.23
7935,Firefox,1982,136,5.9,44        ,27755,46.71
7936,The Prowler,1981,89,5.9,45        ,11701,Not Box Office available
7937,The Funhouse,1981,96,5.9,56        ,14591,7.89
7938,Death Wish II,1982,89,5.9,11        ,16400,16.10
7939,The Black Hole,1979,98,5.9,52        ,26022,Not Box Office available
7940,Piranha,1978,94,5.9,71        ,22202,6.00
7941,Game of Death,1978,100,5.9,36        ,20748,10.00
7942,King Kong,1976,134,5.9,61        ,33011,52.61
7943,Earthquake,1974,122,5.9,56        ,16384,79.70
7944,Last House on the Left,1972,84,5.9,68        ,37824,3.10
7945,Samrat Prithviraj,2022,135,5.8,Not Metascore available,52668,Not Box Office available
7946,A Dark Foe,2020,114,5.8,Not Metascore available,11697,Not Box Office available
7947,Vivarium,2019,97,5.8,64        ,59554,Not Box Office available
7948,The Wretched,2019,95,5.8,61        ,17298,Not Box Office available
7949,The Perfect Date,I 2019,89,5.8,Not Metascore available,39559,Not Box Office available
7950,The Lie,2018,97,5.8,45        ,17453,Not Box Office available
7951,A Christmas Prince,2017,92,5.8,Not Metascore available,19772,Not Box Office available
7952,1BR,2019,90,5.8,56        ,13123,Not Box Office available
7953,Uncle Drew,2018,103,5.8,57        ,14625,42.47
7954,Wonder Park,2019,85,5.8,45        ,12048,45.22
7955,Office Uprising,2018,92,5.8,Not Metascore available,17573,Not Box Office available
7956,Bairavaa,2017,169,5.8,Not Metascore available,10702,Not Box Office available
7957,Kin,I 2018,102,5.8,35        ,17346,5.72
7958,Vox Lux,2018,114,5.8,67        ,18555,0.73
7959,Miss Bala,2019,104,5.8,41        ,11534,15.01
7960,Look Away,2018,103,5.8,Not Metascore available,21485,Not Box Office available
7961,Underwater,2020,95,5.8,48        ,82906,17.29
7962,Skyscraper,2018,102,5.8,51        ,122951,68.42
7963,Home Again,2017,97,5.8,41        ,32835,27.02
7964,The Little Hours,2017,90,5.8,69        ,23224,1.65
7965,Entebbe,2018,107,5.8,49        ,16053,3.19
7966,24 Hours to Live,2017,93,5.8,37        ,14748,Not Box Office available
7967,Eli,I 2019,98,5.8,Not Metascore available,36517,Not Box Office available
7968,Final Score,2018,104,5.8,53        ,13095,Not Box Office available
7969,Baskin,2015,97,5.8,58        ,10938,Not Box Office available
7970,High Life,2018,113,5.8,77        ,36242,1.23
7971,Pitch Perfect 3,2017,93,5.8,40        ,64817,104.90
7972,Ae Dil Hai Mushkil,2016,158,5.8,40        ,23631,4.24
7973,Morgan,2016,92,5.8,48        ,43541,3.91
7974,The Prodigy,2019,92,5.8,45        ,26748,14.86
7975,Tau,2018,97,5.8,43        ,31836,Not Box Office available
7976,War on Everyone,2016,98,5.8,50        ,19351,Not Box Office available
7977,Mine,II 2016,106,5.8,40        ,18764,Not Box Office available
7978,A Christmas Horror Story,2015,99,5.8,49        ,10678,Not Box Office available
7979,Extinction,2015,112,5.8,46        ,17218,Not Box Office available
7980,Reminiscence,2021,116,5.8,46        ,55851,Not Box Office available
7981,The Cobbler,2014,99,5.8,23        ,56717,Not Box Office available
7982,Extinction,2018,95,5.8,40        ,53407,Not Box Office available
7983,Let Us Prey,2014,92,5.8,Not Metascore available,10180,Not Box Office available
7984,Sierra Burgess Is a Loser,2018,105,5.8,60        ,39323,Not Box Office available
7985,Last Shift,I 2014,88,5.8,Not Metascore available,19778,Not Box Office available
7986,The School for Good and Evil,2022,147,5.8,30        ,17301,Not Box Office available
7987,Into the Forest,2015,101,5.8,59        ,20958,0.01
7988,Feuchtgebiete,2013,109,5.8,77        ,11748,0.06
7989,The Canal,2014,92,5.8,55        ,14354,Not Box Office available
7990,The Gunman,2015,115,5.8,39        ,41400,10.64
7991,The Last Five Years,2014,94,5.8,60        ,10297,0.14
7992,And So It Goes,2014,94,5.8,38        ,14322,15.16
7993,Masterminds,I 2016,95,5.8,47        ,56069,17.36
7994,The Duel,I 2016,110,5.8,42        ,11144,0.06
7995,Goon: Last of the Enforcers,2017,101,5.8,48        ,13886,Not Box Office available
7996,Kill Me Three Times,2014,90,5.8,30        ,23597,0.02
7997,The Forger,2014,95,5.8,32        ,12750,Not Box Office available
7998,Love the Coopers,2015,107,5.8,31        ,24281,26.28
7999,I Still See You,2018,98,5.8,31        ,10348,Not Box Office available
8000,Second Act,2018,103,5.8,46        ,27891,39.28
8001,Into the Storm,2014,89,5.8,44        ,68873,47.60
8002,V/H/S,2012,116,5.8,54        ,63589,0.10
8003,Starship Troopers: Invasion,2012,89,5.8,Not Metascore available,11434,Not Box Office available
8004,Rowdy Rathore,2012,140,5.8,Not Metascore available,22732,0.78
8005,A Fantastic Fear of Everything,2012,100,5.8,31        ,14854,Not Box Office available
8006,Noah,2014,138,5.8,68        ,255719,101.20
8007,The Hangover Part III,2013,100,5.8,30        ,315559,112.20
8008,Let It Snow,2019,92,5.8,51        ,22154,Not Box Office available
8009,Carrie,2013,100,5.8,53        ,141266,35.27
8010,Heaven Is for Real,2014,99,5.8,47        ,27356,91.44
8011,Wilson,I 2017,94,5.8,49        ,10745,0.65
8012,Paranormal Activity 3,2011,83,5.8,59        ,95666,104.01
8013,The To Do List,2013,104,5.8,61        ,39827,3.45
8014,The Tunnel,I 2011,94,5.8,Not Metascore available,21034,Not Box Office available
8015,Office Christmas Party,2016,105,5.8,42        ,80342,54.77
8016,21 & Over,2013,93,5.8,34        ,75172,25.68
8017,The Guilt Trip,2012,95,5.8,50        ,37668,37.13
8018,All Eyez on Me,2017,139,5.8,38        ,23468,44.92
8019,Life of Crime,2013,98,5.8,60        ,19257,0.26
8020,Romeo & Juliet,II 2013,118,5.8,41        ,12026,1.16
8021,Rampart,2011,108,5.8,70        ,24343,0.97
8022,Free Birds,2013,91,5.8,38        ,24371,55.75
8023,The Addams Family,2019,86,5.8,46        ,39751,100.04
8024,Absentia,I 2011,87,5.8,Not Metascore available,18817,Not Box Office available
8025,To the Wonder,2012,112,5.8,58        ,29060,0.59
8026,The Mortal Instruments: City of Bones,2013,130,5.8,33        ,134784,31.17
8027,The Divide,2011,112,5.8,28        ,37177,0.02
8028,Cuttputli,2022,120,5.8,Not Metascore available,18476,Not Box Office available
8029,The Host,2013,125,5.8,35        ,115552,26.63
8030,4.3.2.1.,2010,117,5.8,Not Metascore available,10798,Not Box Office available
8031,Haywire,2011,93,5.8,67        ,87287,18.94
8032,Khatta Meetha,2010,157,5.8,Not Metascore available,11210,0.54
8033,StreetDance 3D,2010,98,5.8,Not Metascore available,11428,Not Box Office available
8034,Battleship,2012,131,5.8,41        ,248832,65.42
8035,Table 19,2017,87,5.8,40        ,29039,3.61
8036,Retreat,I 2011,90,5.8,Not Metascore available,12161,Not Box Office available
8037,Happy Feet 2,2011,117,5.8,50        ,45228,64.01
8038,Downsizing,2017,135,5.8,63        ,111440,24.45
8039,Pride and Prejudice and Zombies,2016,108,5.8,45        ,57027,10.91
8040,Operation Christmas Drop,2020,95,5.8,47        ,11655,Not Box Office available
8041,Oldboy,2013,104,5.8,49        ,76615,2.19
8042,The Reef,2010,94,5.8,Not Metascore available,19677,Not Box Office available
8043,The Oranges,2011,90,5.8,46        ,13082,0.36
8044,Teenage Mutant Ninja Turtles,2014,101,5.8,31        ,211444,191.20
8045,Resident Evil: Afterlife,2010,96,5.8,37        ,172481,60.13
8046,2012,I 2009,158,5.8,49        ,378202,166.11
8047,Spread,2009,97,5.8,43        ,40412,0.25
8048,Beyond a Reasonable Doubt,2009,106,5.8,35        ,13075,0.03
8049,Till Death,I 2021,88,5.8,66        ,21822,Not Box Office available
8050,The Man from Toronto,2022,110,5.8,34        ,46153,Not Box Office available
8051,Saw V,2008,92,5.8,20        ,125674,56.75
8052,Amelia,2009,111,5.8,37        ,12872,14.24
8053,The Babysitter: Killer Queen,2020,101,5.8,22        ,40640,Not Box Office available
8054,Old,2021,108,5.8,55        ,118931,Not Box Office available
8055,Confessions of a Shopaholic,2009,104,5.8,38        ,79003,44.28
8056,Management,2008,94,5.8,50        ,17854,0.93
8057,Footloose,2011,113,5.8,58        ,50382,51.80
8058,Monte Carlo,2011,109,5.8,43        ,45448,23.19
8059,Jagame Thandhiram,2021,158,5.8,Not Metascore available,11914,Not Box Office available
8060,My Best Friend's Girl,2008,101,5.8,34        ,44671,19.22
8061,The Contractor,2022,103,5.8,52        ,20016,Not Box Office available
8062,Splice,2009,104,5.8,66        ,97958,17.00
8063,Antebellum,2020,105,5.8,43        ,27236,Not Box Office available
8064,Straw Dogs,2011,110,5.8,45        ,34661,10.32
8065,The Green Hornet,2011,119,5.8,39        ,161030,98.78
8066,St. Trinian's,2007,101,5.8,39        ,22775,Not Box Office available
8067,Mad Money,2008,104,5.8,41        ,21841,20.67
8068,Dance of the Dead,2008,87,5.8,Not Metascore available,11742,Not Box Office available
8069,Outpost,2008,90,5.8,Not Metascore available,17407,Not Box Office available
8070,Eat Pray Love,2010,133,5.8,50        ,98027,80.57
8071,Murder Party,2007,79,5.8,Not Metascore available,11703,Not Box Office available
8072,Nine,2009,118,5.8,49        ,44054,24.00
8073,Made of Honour,2008,101,5.8,37        ,72420,46.01
8074,Semi-Pro,2008,91,5.8,47        ,83112,33.47
8075,Ghosts of Girlfriends Past,2009,115,5.8,34        ,90511,55.25
8076,Black Water,2007,90,5.8,Not Metascore available,15111,Not Box Office available
8077,Percy Jackson & the Lightning Thief,2010,118,5.8,47        ,189754,88.76
8078,Joshua,2007,106,5.8,69        ,12981,0.48
8079,Partner,2007,155,5.8,Not Metascore available,12623,1.06
8080,Clash of the Titans,2010,106,5.8,39        ,283248,163.21
8081,The Wolfman,2010,103,5.8,43        ,107482,61.98
8082,Black Sheep,2006,87,5.8,62        ,40939,0.08
8083,Escape from Planet Earth,2012,89,5.8,35        ,25911,57.01
8084,A Thousand Words,I 2012,91,5.8,26        ,42999,18.44
8085,Without Remorse,II 2021,109,5.8,41        ,58241,Not Box Office available
8086,Silk,2007,107,5.8,39        ,11463,1.10
8087,The Haunting in Connecticut,2009,92,5.8,33        ,62653,55.39
8088,Something Borrowed,2011,112,5.8,36        ,62659,39.05
8089,Wild Hogs,2007,100,5.8,27        ,119403,168.27
8090,Wind Chill,2007,91,5.8,52        ,23527,0.02
8091,Goal II: Living the Dream,2007,115,5.8,Not Metascore available,32996,Not Box Office available
8092,Let's Kill Bobby Z,2007,97,5.8,Not Metascore available,14838,Not Box Office available
8093,Houdini's Death Defying Acts,2007,97,5.8,48        ,10230,0.00
8094,Nacho Libre,2006,92,5.8,52        ,88279,80.20
8095,Waist Deep,2006,97,5.8,37        ,10114,21.32
8096,The Break-Up,2006,106,5.8,45        ,133319,118.70
8097,Cirque du Freak: The Vampire's Assistant,2009,119,5.8,43        ,46755,14.05
8098,Passengers,2008,93,5.8,40        ,37542,0.27
8099,Friends with Money,2006,88,5.8,68        ,30854,13.37
8100,The Ant Bully,2006,88,5.8,59        ,39879,28.14
8101,The Texas Chainsaw Massacre: The Beginning,2006,91,5.8,30        ,73736,39.52
8102,Annapolis,2006,108,5.8,37        ,21370,17.13
8103,Final Destination 3,2006,93,5.8,41        ,143491,54.10
8104,The Heartbreak Kid,2007,116,5.8,46        ,92353,36.79
8105,Bad News Bears,2005,113,5.8,65        ,21857,32.87
8106,Firewall,2006,105,5.8,45        ,58165,48.75
8107,L'empire des loups,2005,128,5.8,Not Metascore available,11781,Not Box Office available
8108,Beowulf & Grendel,2005,104,5.8,53        ,18144,0.07
8109,Cry Wolf,2005,90,5.8,39        ,27645,10.05
8110,Open Water,2003,79,5.8,63        ,54292,30.61
8111,Journey to the Center of the Earth,2008,93,5.8,57        ,123582,101.70
8112,The Princess Diaries 2: Royal Engagement,2004,113,5.8,43        ,81977,95.17
8113,Ginger Snaps III: The Beginning,2004,94,5.8,Not Metascore available,10981,Not Box Office available
8114,Without a Paddle,2004,95,5.8,29        ,48390,58.17
8115,Raise Your Voice,2004,107,5.8,33        ,28094,10.41
8116,Blade: Trinity,2004,113,5.8,38        ,178753,52.41
8117,RRRrrrr!!!,2004,98,5.8,Not Metascore available,14157,Not Box Office available
8118,The Forgotten,2004,91,5.8,43        ,66462,66.64
8119,Gothika,2003,98,5.8,38        ,113850,59.69
8120,Stuck on You,2003,118,5.8,62        ,53583,33.83
8121,The Prince & Me,2004,111,5.8,47        ,39715,28.18
8122,The Clearing,2004,95,5.8,60        ,14040,5.76
8123,Around the World in 80 Days,2004,120,5.8,49        ,90474,24.01
8124,Suspect Zero,2004,99,5.8,37        ,19838,8.73
8125,Laws of Attraction,2004,90,5.8,38        ,23609,17.85
8126,Looney Tunes: Back in Action,2003,93,5.8,64        ,37955,20.99
8127,The League of Extraordinary Gentlemen,2003,110,5.8,30        ,176847,66.47
8128,Cradle 2 the Grave,2003,101,5.8,36        ,45229,34.71
8129,Taxi 3,2003,84,5.8,Not Metascore available,43158,0.50
8130,xXx,2002,124,5.8,48        ,180568,142.11
8131,What a Girl Wants,2003,105,5.8,41        ,63525,35.99
8132,Mr. Deeds,2002,96,5.8,24        ,145296,126.29
8133,Return to Never Land,2002,72,5.8,49        ,20576,48.43
8134,All About the Benjamins,2002,95,5.8,34        ,14940,25.48
8135,The Accidental Spy,2001,108,5.8,Not Metascore available,17727,Not Box Office available
8136,The Ringer,2005,94,5.8,46        ,37247,35.42
8137,The New Guy,2002,88,5.8,24        ,36199,28.97
8138,Evil Woman,2001,90,5.8,22        ,40875,19.35
8139,Pokémon 3: De Film - In de Greep van het Onbekende,2000,93,5.8,Not Metascore available,14275,17.05
8140,Novocaine,2001,95,5.8,45        ,11282,2.04
8141,Beyond Re-Animator,2003,96,5.8,Not Metascore available,12273,Not Box Office available
8142,The Glass House,2001,106,5.8,34        ,37743,18.00
8143,100 Girls,2000,94,5.8,Not Metascore available,23036,Not Box Office available
8144,Ken Park,2002,93,5.8,Not Metascore available,29955,Not Box Office available
8145,Bounce,2000,106,5.8,52        ,21036,36.81
8146,Reindeer Games,2000,104,5.8,37        ,40234,23.36
8147,Hollow Man,2000,112,5.8,24        ,132182,73.21
8148,All the Pretty Horses,2000,116,5.8,55        ,15102,15.53
8149,End of Days,1999,122,5.8,33        ,111378,66.89
8150,Holy Smoke,1999,115,5.8,57        ,15014,1.76
8151,Lake Placid,1999,82,5.8,34        ,61953,31.77
8152,The Million Dollar Hotel,2000,122,5.8,25        ,21700,0.05
8153,Halloween H20: 20 Years Later,1998,86,5.8,52        ,76743,55.04
8154,Babe: Pig in the City,1998,97,5.8,68        ,33860,18.32
8155,Studio 54,1998,93,5.8,33        ,33431,16.57
8156,Wishmaster,1997,90,5.8,Not Metascore available,23659,15.72
8157,The Relic,1997,110,5.8,55        ,28095,33.96
8158,I Know What You Did Last Summer,1997,101,5.8,52        ,147537,72.59
8159,Hurlyburly,1998,122,5.8,Not Metascore available,10201,1.80
8160,For Richer or Poorer,1997,115,5.8,Not Metascore available,11268,31.61
8161,The Borrowers,1997,89,5.8,Not Metascore available,22563,22.36
8162,A Very Brady Sequel,1996,90,5.8,56        ,11091,21.40
8163,Thinner,1996,93,5.8,33        ,31335,15.17
8164,Sgt. Bilko,1996,93,5.8,47        ,22901,30.36
8165,Mary Reilly,1996,108,5.8,44        ,15159,5.71
8166,Jack,1996,113,5.8,31        ,61084,58.62
8167,Bulletproof,1996,84,5.8,30        ,38653,21.16
8168,Sudden Death,1995,111,5.8,Not Metascore available,34921,20.35
8169,Species,1995,108,5.8,49        ,80958,60.07
8170,Mortal Kombat,1995,101,5.8,60        ,118656,70.45
8171,Dracula: Dead and Loving It,1995,88,5.8,Not Metascore available,42276,10.77
8172,The Getaway,1994,115,5.8,51        ,18538,16.10
8173,The Chase,1994,97,5.8,Not Metascore available,21310,8.01
8174,Striking Distance,1993,102,5.8,36        ,43405,23.80
8175,Son in Law,1993,95,5.8,33        ,20727,36.45
8176,The Crush,1993,89,5.8,34        ,20589,13.61
8177,Honeymoon in Vegas,1992,96,5.8,63        ,18304,35.21
8178,Encino Man,1992,88,5.8,25        ,41171,40.69
8179,Captain Ron,1992,100,5.8,39        ,21737,22.52
8180,F/X2,1991,108,5.8,48        ,11084,21.08
8181,Curly Sue,1991,101,5.8,Not Metascore available,21964,33.69
8182,Career Opportunities,1991,83,5.8,41        ,15221,11.34
8183,RoboCop 2,1990,117,5.8,42        ,87220,45.68
8184,Hard to Kill,1990,96,5.8,41        ,30526,47.41
8185,Air America,1990,113,5.8,33        ,29000,31.05
8186,Troop Beverly Hills,1989,105,5.8,32        ,10583,8.51
8187,Next of Kin,1989,108,5.8,53        ,11844,15.94
8188,Leviathan,1989,98,5.8,51        ,21210,15.70
8189,The Seventh Sign,1988,97,5.8,Not Metascore available,14802,18.88
8190,Rambo III,1988,102,5.8,36        ,132077,53.72
8191,Halloween 4: The Return of Michael Myers,1988,88,5.8,34        ,53951,17.77
8192,Over the Top,1987,93,5.8,40        ,55247,16.06
8193,Cobra,1986,87,5.8,25        ,73762,49.04
8194,Death Wish 3,1985,92,5.8,18        ,15861,16.12
8195,"Silent Night, Deadly Night",1984,79,5.8,31        ,16244,2.49
8196,Runaway,1984,99,5.8,50        ,13528,6.77
8197,Blame It on Rio,1984,100,5.8,22        ,10923,18.64
8198,The Toy,1982,102,5.8,16        ,13721,47.12
8199,Terror Train,1980,97,5.8,42        ,12522,Not Box Office available
8200,The Blue Lagoon,1980,104,5.8,31        ,70967,58.85
8201,Cannibal Holocaust,1980,95,5.8,22        ,56318,Not Box Office available
8202,1941,1979,118,5.8,34        ,34061,31.76
8203,Jaws 2,1978,116,5.8,51        ,79059,102.92
8204,Salò o le 120 giornate di Sodoma,1975,117,5.8,Not Metascore available,60834,Not Box Office available
8205,Zardoz,1974,105,5.8,46        ,22813,0.07
8206,Barbarella,1968,98,5.8,51        ,35285,Not Box Office available
8207,Escape Room: Tournament of Champions,2021,88,5.7,48        ,45447,25.19
8208,Hour of Lead,2020,115,5.7,Not Metascore available,10812,Not Box Office available
8209,The Kissing Booth 2,2020,134,5.7,39        ,32193,Not Box Office available
8210,The Wrong Missy,2020,90,5.7,33        ,40134,Not Box Office available
8211,An American Pickle,2020,88,5.7,58        ,24077,Not Box Office available
8212,Vampires vs. the Bronx,2020,85,5.7,76        ,10195,Not Box Office available
8213,Child's Play,2019,90,5.7,48        ,52439,29.21
8214,Yes Day,2021,86,5.7,46        ,24435,Not Box Office available
8215,The Holiday Calendar,2018,95,5.7,Not Metascore available,10230,Not Box Office available
8216,Jurassic World Dominion,2022,147,5.7,38        ,146128,Not Box Office available
8217,Come Play,2020,96,5.7,58        ,13862,Not Box Office available
8218,Christmas Inheritance,2017,104,5.7,Not Metascore available,11856,Not Box Office available
8219,Simmba,2018,158,5.7,Not Metascore available,23351,5.08
8220,Velvet Buzzsaw,2019,113,5.7,61        ,61735,Not Box Office available
8221,The Man Who Killed Hitler and Then the Bigfoot,2018,98,5.7,51        ,12410,Not Box Office available
8222,Little Italy,2018,102,5.7,28        ,15506,0.99
8223,Svart krabba,2022,114,5.7,54        ,20851,Not Box Office available
8224,X-Men: Dark Phoenix,2019,113,5.7,43        ,187329,65.85
8225,Bhool Bhulaiyaa 2,2022,143,5.7,Not Metascore available,30502,Not Box Office available
8226,Acts of Vengeance,2017,87,5.7,49        ,12481,Not Box Office available
8227,I Think We're Alone Now,2018,99,5.7,51        ,10783,Not Box Office available
8228,The Woman in the Window,2021,100,5.7,41        ,75146,Not Box Office available
8229,Insidious: The Last Key,2018,103,5.7,49        ,61208,67.75
8230,The Domestics,2018,95,5.7,Not Metascore available,10036,Not Box Office available
8231,Samaritan,2022,102,5.7,45        ,41864,Not Box Office available
8232,Close,I 2019,94,5.7,51        ,25169,Not Box Office available
8233,In Darkness,2018,100,5.7,59        ,13465,Not Box Office available
8234,The Do-Over,2016,108,5.7,22        ,47064,Not Box Office available
8235,Aftermath,IV 2017,94,5.7,44        ,25105,Not Box Office available
8236,Mulan,2020,115,5.7,66        ,148120,Not Box Office available
8237,Bad Neighbours 2,2016,92,5.7,58        ,123664,55.46
8238,Strange Magic,2015,99,5.7,25        ,11343,12.43
8239,White Girl,2016,88,5.7,65        ,11025,0.20
8240,The Postcard Killings,2020,104,5.7,29        ,11506,Not Box Office available
8241,The Darkest Minds,2018,104,5.7,39        ,32625,12.70
8242,Shut In,2015,90,5.7,39        ,13176,Not Box Office available
8243,How to Talk to Girls at Parties,2017,102,5.7,50        ,11371,0.08
8244,Blue Mountain State: The Rise of Thadland,2016,90,5.7,Not Metascore available,15903,Not Box Office available
8245,Underworld: Blood Wars,2016,91,5.7,23        ,76546,30.35
8246,Mechanic: Resurrection,2016,98,5.7,38        ,85639,21.22
8247,We Are Still Here,I 2015,84,5.7,65        ,19001,Not Box Office available
8248,Security,I 2017,88,5.7,Not Metascore available,19460,Not Box Office available
8249,Allegiant,2016,120,5.7,33        ,123020,66.18
8250,Jigsaw,I 2017,92,5.7,39        ,80275,38.05
8251,Pan,2015,111,5.7,36        ,64616,35.09
8252,Son of God,2014,138,5.7,37        ,19105,59.70
8253,Honeymoon,2014,87,5.7,65        ,26160,0.01
8254,Little Evil,2017,94,5.7,Not Metascore available,21769,Not Box Office available
8255,Sea Fever,2019,95,5.7,60        ,11780,Not Box Office available
8256,Hitman: Agent 47,2015,96,5.7,28        ,91646,22.47
8257,Kill Command,2016,99,5.7,Not Metascore available,14315,Not Box Office available
8258,Ben-Hur,2016,123,5.7,38        ,44580,26.41
8259,I Spit on Your Grave 2,2013,106,5.7,Not Metascore available,30211,0.00
8260,Point Blank,2019,86,5.7,37        ,14580,Not Box Office available
8261,Cooties,2014,88,5.7,49        ,26373,0.06
8262,The Hallow,2015,97,5.7,65        ,17020,0.01
8263,Lost River,2014,95,5.7,42        ,18354,0.04
8264,Afternoon Delight,2013,98,5.7,50        ,10812,0.17
8265,Reasonable Doubt,2014,91,5.7,19        ,20013,Not Box Office available
8266,The Possession of Michael King,2014,83,5.7,34        ,12619,Not Box Office available
8267,I Give It a Year,2013,97,5.7,50        ,37638,0.03
8268,Think Like a Man Too,2014,106,5.7,38        ,21510,65.18
8269,The Love Punch,2013,94,5.7,44        ,14872,0.30
8270,The Purge,I 2013,85,5.7,41        ,224853,64.47
8271,Earth to Echo,2014,91,5.7,53        ,19201,38.92
8272,Premature,2014,93,5.7,34        ,10282,Not Box Office available
8273,In the Blood,I 2014,108,5.7,40        ,12503,Not Box Office available
8274,Antiviral,2012,108,5.7,55        ,13845,Not Box Office available
8275,Grace of Monaco,2014,103,5.7,21        ,20297,Not Box Office available
8276,Chaos Walking,2021,109,5.7,38        ,48560,13.29
8277,The English Teacher,2013,93,5.7,42        ,12693,Not Box Office available
8278,The Pact,II 2012,89,5.7,54        ,24615,Not Box Office available
8279,Identity Thief,2013,111,5.7,35        ,134315,134.51
8280,Would You Rather,2012,93,5.7,20        ,42004,Not Box Office available
8281,Desi Boyz,2011,122,5.7,Not Metascore available,14114,1.07
8282,Rules Don't Apply,2016,127,5.7,60        ,11066,3.65
8283,Cry Macho,2021,104,5.7,58        ,27376,Not Box Office available
8284,The Dyatlov Pass Incident,2013,100,5.7,49        ,25493,Not Box Office available
8285,Percy Jackson: Sea of Monsters,2013,106,5.7,39        ,118916,68.56
8286,Queen of the Desert,2015,128,5.7,39        ,11681,Not Box Office available
8287,The Nut Job,I 2014,85,5.7,37        ,28795,64.25
8288,Admission,2013,108,5.7,48        ,35301,18.00
8289,Clown,2014,100,5.7,42        ,24638,0.06
8290,Sabotage,2014,109,5.7,41        ,63985,10.51
8291,Teach Me Love,II 2014,99,5.7,11        ,15086,Not Box Office available
8292,The Bay,II 2012,84,5.7,65        ,27861,0.03
8293,Girl Most Likely,2012,103,5.7,38        ,15511,1.38
8294,Planes,2013,91,5.7,39        ,45695,90.29
8295,New York'ta Bes Minare,2010,119,5.7,Not Metascore available,15184,Not Box Office available
8296,Wrath of the Titans,2012,99,5.7,37        ,189883,83.67
8297,Jumping the Broom,2011,112,5.7,56        ,10912,37.30
8298,Bloodshot,2020,109,5.7,44        ,78180,12.56
8299,Rubber,2010,82,5.7,59        ,37709,0.10
8300,Only God Forgives,2013,90,5.7,37        ,113206,0.78
8301,What to Expect When You're Expecting,2012,110,5.7,41        ,73427,41.15
8302,G.I. Joe: Retaliation,2013,110,5.7,41        ,182134,122.52
8303,A Single Shot,2013,116,5.7,53        ,11075,0.01
8304,Playing for Keeps,2012,105,5.7,27        ,30413,13.10
8305,Faces in the Crowd,2011,103,5.7,Not Metascore available,19481,Not Box Office available
8306,Paranormal Activity 2,2010,91,5.7,53        ,104955,84.75
8307,Kaboom,2010,86,5.7,64        ,13218,0.12
8308,The Three Musketeers,2011,110,5.7,35        ,108410,20.38
8309,Windfall,2022,92,5.7,52        ,23140,Not Box Office available
8310,The Paperboy,2012,107,5.7,45        ,37992,0.69
8311,You Again,2010,105,5.7,28        ,52402,25.70
8312,Journey 2: The Mysterious Island,2012,94,5.7,41        ,105046,103.86
8313,Texas Killing Fields,2011,105,5.7,49        ,20318,0.05
8314,Persuasion,I 2022,108,5.7,42        ,27710,Not Box Office available
