,Title_of_Movie,Release_Year,Runtime_(min),IMDB_Rating,Metascore,Votes,Box_Office_(Million $)
41,The Matrix,1999,136,8.7,73        ,1899417,171.48
42,Goodfellas,1990,145,8.7,90        ,1151431,46.84
43,Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7,82        ,1283743,290.48
44,One Flew Over the Cuckoo's Nest,1975,133,8.7,84        ,1002714,112.00
45,Bizim Hikaye,2015,97,8.6,Not Metascore available,18086,Not Box Office available
46,Interstellar,2014,169,8.6,74        ,1802624,188.02
47,Cidade de Deus,2002,130,8.6,79        ,753625,7.56
48,O Auto da Compadecida,2000,104,8.6,Not Metascore available,14748,Not Box Office available
49,Çöpçüler Krali,1977,80,8.6,Not Metascore available,20306,Not Box Office available
50,Hababam Sinifi Tatilde,1977,97,8.6,Not Metascore available,17912,Not Box Office available
51,Spirited Away,2001,125,8.6,96        ,756555,10.06
52,Saving Private Ryan,1998,169,8.6,91        ,1381197,216.54
53,The Green Mile,1999,189,8.6,61        ,1291205,136.80
54,Het leven is mooi,1997,116,8.6,59        ,691060,57.60
55,Lepa sela lepo gore,1996,115,8.6,Not Metascore available,16633,Not Box Office available
56,Seven,1995,127,8.6,65        ,1637308,100.13
57,Terminator 2: Judgment Day,1991,137,8.6,75        ,1092345,204.84
58,The Silence of the Lambs,1991,118,8.6,85        ,1421555,130.74
59,Nayakan,1987,145,8.6,Not Metascore available,20426,Not Box Office available
60,De sterrenoorlogen,1977,121,8.6,90        ,1356375,322.74
61,Seppuku,1962,133,8.6,85        ,57013,Not Box Office available
62,Shichinin no samurai,1954,207,8.6,98        ,345135,0.27
63,It's a Wonderful Life,1946,130,8.6,89        ,453529,Not Box Office available
64,Kaithi,2019,145,8.5,Not Metascore available,31892,Not Box Office available
65,Asuran,2019,141,8.5,Not Metascore available,29438,Not Box Office available
66,Jersey,2019,157,8.5,Not Metascore available,18148,Not Box Office available
67,Kumbalangi Nights,2019,135,8.5,Not Metascore available,15057,Not Box Office available
68,Mahanati,2018,177,8.5,Not Metascore available,13011,Not Box Office available
69,96,II 2018,158,8.5,Not Metascore available,31311,Not Box Office available
70,Gisaengchung,2019,132,8.5,96        ,787872,53.37
71,Visaaranai,2015,117,8.5,Not Metascore available,10909,Not Box Office available
72,Whiplash,2014,106,8.5,88        ,848660,13.09
73,Sita Ramam,2022,163,8.5,Not Metascore available,40822,Not Box Office available
74,Intouchables,2011,112,8.5,57        ,852082,13.18
75,Shingeki no Kyojin: Chronicle,2020,122,8.5,Not Metascore available,10434,Not Box Office available
76,Sarpatta Parambarai,2021,173,8.5,Not Metascore available,22852,Not Box Office available
77,The Prestige,2006,130,8.5,66        ,1323989,53.09
78,Marmoulak,2004,115,8.5,Not Metascore available,20591,Not Box Office available
79,The Departed,2006,151,8.5,85        ,1316304,132.38
80,La meglio gioventù,2003,366,8.5,89        ,22151,0.27
81,Selvi Boylum Al Yazmalim,1977,90,8.5,Not Metascore available,16054,Not Box Office available
82,The Pianist,2002,150,8.5,85        ,826051,32.57
83,Muhsin Bey,1987,119,8.5,Not Metascore available,10975,Not Box Office available
84,Gladiator,2000,155,8.5,67        ,1489496,187.71
85,American History X,1998,119,8.5,62        ,1116966,6.72
86,The Usual Suspects,1995,106,8.5,77        ,1079869,23.34
87,Léon,1994,110,8.5,64        ,1153316,19.50
88,The Lion King,1994,88,8.5,88        ,1050846,422.78
89,Thalapathi,1991,157,8.5,Not Metascore available,12388,Not Box Office available
90,Nuovo Cinema Paradiso,1988,155,8.5,80        ,260499,11.99
91,Grave of the Fireflies,1988,89,8.5,94        ,275882,Not Box Office available
92,Terug naar de toekomst,1985,116,8.5,87        ,1194741,210.61
93,Golmaal,1979,120,8.5,Not Metascore available,19258,Not Box Office available
94,Apocalypse Now,1979,147,8.5,94        ,664584,83.47
95,Alien,1979,117,8.5,89        ,877155,78.90
96,Once Upon a Time in the West,1968,165,8.5,80        ,328694,5.32
97,Operatsiya 'Y' i drugie priklyucheniya Shurika,1965,95,8.5,Not Metascore available,13471,Not Box Office available
98,De vrouw in het zand,1964,147,8.5,Not Metascore available,20359,Not Box Office available
99,Le trou,1960,131,8.5,Not Metascore available,18358,0.03
100,Psycho,1960,109,8.5,97        ,668885,32.00
101,Apur Sansar,1959,105,8.5,Not Metascore available,14955,0.02
102,Rear Window,1954,112,8.5,100        ,490243,36.76
103,Casablanca,1942,102,8.5,100        ,569623,1.02
104,Modern Times,1936,87,8.5,96        ,242150,0.16
105,City Lights,1931,87,8.5,99        ,184727,0.02
106,Vikram,2022,175,8.4,Not Metascore available,55860,Not Box Office available
107,Hamilton,2020,160,8.4,90        ,93686,Not Box Office available
108,Capernaum,2018,126,8.4,75        ,89291,1.66
109,Joker,I 2019,122,8.4,59        ,1260400,335.45
110,Vada Chennai,2018,164,8.4,Not Metascore available,17343,Not Box Office available
111,Aruvi,2016,130,8.4,Not Metascore available,13236,Not Box Office available
112,Kimi no na wa.,2016,106,8.4,79        ,265574,5.02
113,Thani Oruvan,2015,160,8.4,Not Metascore available,20297,Not Box Office available
114,Spider-Man: Een nieuw universum,2018,117,8.4,87        ,521098,190.24
115,Avengers: Endgame,2019,181,8.4,78        ,1113975,858.37
116,Avengers: Infinity War,2018,149,8.4,68        ,1067174,678.82
117,Coco,I 2017,105,8.4,81        ,501476,209.73
118,Kaun Pravin Tambe?,2022,134,8.4,Not Metascore available,10237,Not Box Office available
119,Django Unchained,2012,165,8.4,81        ,1539192,162.81
120,Top Gun: Maverick,2022,130,8.4,78        ,416719,Not Box Office available
121,Chup,2022,135,8.4,Not Metascore available,13350,Not Box Office available
122,The Dark Knight Rises,2012,164,8.4,78        ,1693469,448.14
123,Drishyam 2,2021,152,8.4,Not Metascore available,36743,Not Box Office available
124,3 Idiots,2009,170,8.4,67        ,398872,6.53
125,K.G.F: Chapter 2,2022,168,8.4,Not Metascore available,130011,Not Box Office available
